Text,Confidence
Aselsan Kardelen,0.77
Dosya,0.87
Haberlesme,0.64
Harita,1.00
Konfigürasyon,0.99
Görüntü Yönetimi,0.96
Görev Plan,0.95
Kullanıcı,0.99
Kontrol,1.00
Dil,0.65
Görünüm,0.95
Yardım,0.93
Kapat,1.00
aselsan,0.87
MiRsZE,0.11
Sistemdeki Algılayıcılar,0.80
Yerlesim,0.86
KALYON,1.00
0. Alan | KALYON,0.76
T.Modu,0.78
Mode,1.00
Ara,1.00
Çevrimiçi,1.00
Çevrimdışı,0.98
Tüm Algılayı,0.94
Otomatik Seçilme,0.73
Algılayıcı Bilgileri,0.86
GPS,1.00
Algılayıcı Tipi,0.99
Hassasiyet,1.00
Kısa Tanım,0.89
Unite No,0.92
Enlem,0.92
Alg. No 25,0.66
Boylam,1.00
Yükseklik,1.00
Menzil,1.00
Tüm Algılayıcı Tespitleri,0.99
Bitmemis Tes,0.83
Tes,0.41
Filtre Secimi,0.94
Zam.,0.64
Tanım,0.60
Tes ,0.79
Teşhis,0.80
23.0.,0.58
006-02,0.87
BA.,0.59
YOK,1.00
23.0.,0.41
"006-01,",0.72
BA.,0.87
YOK,1.00
Tespit,0.98
Ihlal,0.99
Olagan,0.62
Tüm Algılayıcı Tespitlerini Listele,0.93
10.41,0.94
26.11.2024,0.63
Day,1.00
