Text,Confidence
aee,0.03
Aetan,0.01
1na1e,0.01
ouou,0.01
rn,0.02
Echun,0.25
pat,0.89
Hauta,0.73
Vidrr,0.13
Alarm Yenctimi,0.63
aselsan | MİRSAD,0.93
Aea ),0.01
A7l,0.05
Seice,0.20
serre Ka Pio,0.03
Seda,0.88
5609-|,0.15
50da ,0.15
Soda,0.27
Fiig Einos,0.28
Fllr_Eklnoks_Kamere,0.57
KaRAYOL,0.15
Khinci,0.18
Yamooz,0.65
PIR kapi,0.58
Adas,0.22
Cevrirndisi (49/,0.25
Mayinlar 14,0.28
Aenr,0.01
Flt_Ekinoks_Karner,0.54
V 232 36,0.07
Yemgoz 012,0.86
23-32838,0.43
ue,0.02
ecek (eula,0.03
a,0.12
Midus J4 Kanal121,0.11
42132.00,0.09
Geçmisi,0.88
zinsiz Tormaini,0.20
Zo{oC,0.05
Uste Gununumnu,0.17
Czelge Gcrunumg,0.10
Manuci Iospit 1,0.13
23832 36,0.20
Ingan,0.47
anirn,0.18
01 0 8 2022,0.38
"12,01 2023",0.32
Jesr hoi,0.14
Moeor,0.12
Ien Tipı,0.30
Tehis Aciklamasi,0.20
Iesne Kaynek No,0.28
esdilJuies,0.24
Orcelik,0.60
Bolge,0.38
1037-07,0.56
1037-07,0.62
Hensi,0.20
Yemgoz 012,0.91
23 37838,0.25
Supheli Arac ITrYoaCDR212,0.08
7ssh,0.04
Dus :,0.11
Clnumre,0.01
Tonmn ^,0.18
TeFlz Ma,0.04
Terul To,0.16
Tesul <,0.05
Terg To ~,0.09
Teshosacsmes,0.01
TerlKame <,0.04
Taelse ^,0.14
Tesh Zamnan ?,0.09
Terilcouau,0.02
Midas 34 (Kanal 121,0.52
"21-32,2",0.24
Tanimlaniamavan Uvan,0.21
22 40*Co,0.14
CCTV,0.40
a,0.08
akiine,0.28
kgd,0.10
Midas ,0.38
(analz],0.14
23-37838,0.12
99ora,0.06
Islem Yap,0.85
13 2 -,0.18
Zramaudc,0.10
Folem,0.17
Bolamn,0.29
Moktava Git,0.35
CBs Ds,0.14
G284 Codral,0.11
Cuvun,0.24
oot,0.02
Alarm,0.62
