Text,Bounding Box,Confidence
aee,"[[34, 2], [58, 2], [58, 8], [34, 8]]",0.028284220373922187
Aetan,"[[66, 2], [98, 2], [98, 8], [66, 8]]",0.012240987308956543
1na1e,"[[106, 2], [134, 2], [134, 8], [106, 8]]",0.005405198881376552
ouou,"[[162, 2], [196, 2], [196, 8], [162, 8]]",0.011688453145325184
rn,"[[206, 2], [232, 2], [232, 8], [206, 8]]",0.02495929234467366
Echun,"[[240, 2], [264, 2], [264, 10], [240, 10]]",0.2465668945277913
Cat,"[[274, 2], [296, 2], [296, 8], [274, 8]]",0.01592449921819241
Hanta,"[[269, 19], [297, 19], [297, 31], [269, 31]]",0.33081053065049265
Vidor,"[[312, 20], [334, 20], [334, 28], [312, 28]]",0.2972264521437039
Alim Yenctimi,"[[352, 20], [410, 20], [410, 28], [352, 28]]",0.17150001774574752
0 2,"[[1129, 17], [1157, 17], [1157, 31], [1129, 31]]",0.44121329833785794
20 0 0 8 4 7,"[[1173, 17], [1271, 17], [1271, 31], [1173, 31]]",0.19926247660880303
Benibahçes,"[[341, 33], [407, 33], [407, 47], [341, 47]]",0.36966968131936234
@ltepa,"[[515, 39], [561, 39], [561, 53], [515, 53]]",0.06585177749147021
evlacks,"[[706, 32], [749, 32], [749, 48], [706, 48]]",0.26298369379542025
aselsan | MİRSAD,"[[50, 38], [204, 38], [204, 64], [50, 64]]",0.9320755459795739
Daggoren,"[[863, 49], [919, 49], [919, 65], [863, 65]]",0.8390660749222166
10.11.2023 09.05,"[[1193, 43], [1283, 43], [1283, 57], [1193, 57]]",0.861303265110679
Orgutlo,"[[959, 57], [1003, 57], [1003, 73], [959, 73]]",0.3345617938537639
Bururcahoyuls,"[[545, 77], [619, 77], [619, 93], [545, 93]]",0.2393013435513959
Aea ),"[[14, 92], [66, 92], [66, 100], [14, 100]]",0.010262649340715998
Mengelll,"[[721, 95], [773, 95], [773, 111], [721, 111]]",0.9686046620586057
A7l,"[[46, 114], [72, 114], [72, 120], [46, 120]]",0.048660225833840824
Seice,"[[62, 128], [84, 128], [84, 136], [62, 136]]",0.20070082698334218
Bozdere,"[[467, 127], [515, 127], [515, 143], [467, 143]]",0.6021320898298241
Koseveli,"[[949, 127], [999, 127], [999, 141], [949, 141]]",0.9930160561662382
serre Ka Pio,"[[78, 142], [132, 142], [132, 150], [78, 150]]",0.03032983640680221
Seda,"[[45, 157], [69, 157], [69, 169], [45, 169]]",0.8797957897186279
Arslanb,"[[587, 151], [631, 151], [631, 165], [587, 165]]",0.565604115227761
Harmanalan,"[[1077, 153], [1145, 153], [1145, 169], [1077, 169]]",0.9546101071820047
5609-|,"[[62, 172], [90, 172], [90, 180], [62, 180]]",0.15053300847677145
Mezra,"[[254, 161], [291, 161], [291, 177], [254, 177]]",0.9990841566914243
Kesme,"[[1191, 165], [1231, 165], [1231, 179], [1191, 179]]",0.9855097712673642
Abdallı,"[[433, 173], [475, 173], [475, 187], [433, 187]]",0.5145313139955314
50da ,"[[62, 186], [90, 186], [90, 194], [62, 194]]",0.1483239778440871
