Text,Bounding Box,Confidence
aselsan MIRSAD,"[[52, 38], [206, 38], [206, 68], [52, 68]]",0.6574946952218247
Serle:,"[[62, 128], [88, 128], [88, 136], [62, 136]]",0.24497544057726517
scnK,"[[77, 141], [109, 141], [109, 153], [77, 153]]",0.0636923536658287
ades,"[[52, 256], [80, 256], [80, 262], [52, 262]]",0.01637156680226326
40bd,"[[61, 325], [91, 325], [91, 339], [61, 339]]",0.028752250596880913
ceulmdisg,"[[24, 335], [77, 335], [77, 353], [24, 353]]",0.03501857243511313
i20,"[[35, 367], [59, 367], [59, 381], [35, 381]]",0.4460151168477135
Mfuih,"[[62, 368], [86, 368], [86, 376], [62, 376]]",0.038373869178687854
Kamerb :,"[[76, 432], [112, 432], [112, 440], [76, 440]]",0.05913989493208123
"023,3280","[[157, 429], [205, 429], [205, 443], [157, 443]]",0.3721505442499976
EBhna,"[[22, 430], [78, 430], [78, 458], [22, 458]]",0.07826341304163412
Yengdz 012,"[[22, 462], [75, 462], [75, 476], [22, 476]]",0.5660217673255352
[23-52*9a,"[[163, 463], [205, 463], [205, 475], [163, 475]]",0.1939648121992103
cescnakidut,"[[65, 471], [115, 471], [115, 489], [65, 489]]",0.005949323357774819
35*2},"[[177, 475], [203, 475], [203, 491], [177, 491]]",0.4158337795953818
Hodtsf34 (Kanni12),"[[21, 495], [105, 495], [105, 509], [21, 509]]",0.037065595870712655
02a2i6/7,"[[157, 495], [211, 495], [211, 509], [157, 509]]",0.06717893551048737
Jmanu ,"[[46, 506], [87, 506], [87, 524], [46, 524]]",0.1814733816980072
"234090,","[[167, 507], [211, 507], [211, 523], [167, 523]]",0.0986288828258511
Iezuatterei,"[[21, 525], [79, 525], [79, 550], [21, 550]]",0.07558914172531381
I6dhl,"[[24, 544], [48, 544], [48, 552], [24, 552]]",0.01745097668963746
Yangdz 012!,"[[23, 559], [77, 559], [77, 577], [23, 577]]",0.11408606788219712
gophelaras [trhdacdr2iz;,"[[21, 571], [139, 571], [139, 589], [21, 589]]",0.03123566077718393
2558,"[[178, 576], [202, 576], [202, 582], [178, 582]]",0.05799202248454094
Kgdoa,"[[22, 598], [48, 598], [48, 606], [22, 606]]",0.20187662407826515
J4 (Kaaii2),"[[47, 593], [105, 593], [105, 609], [47, 609]]",0.09870070519203643
4922a,"[[171, 593], [203, 593], [203, 607], [171, 607]]",0.144137121330472
SkhlmieohMhan,"[[20, 610], [88, 610], [88, 616], [20, 616]]",0.0038264187264422647
Uysj,"[[89, 607], [115, 607], [115, 619], [89, 619]]",0.12431875616312027
240H00,"[[172, 608], [202, 608], [202, 616], [172, 616]]",0.02260951844789956
CCTy,"[[21, 629], [49, 629], [49, 641], [21, 641]]",0.23025354743003845
22552hae,"[[166, 632], [202, 632], [202, 640], [166, 640]]",0.03677022441897937
Makna,"[[23, 641], [53, 641], [53, 657], [23, 657]]",0.8434753955929726
Kad,"[[63, 637], [85, 637], [85, 657], [63, 657]]",0.07762456204917181
Nida8 34 (Kenal 122,"[[23, 663], [105, 663], [105, 677], [23, 677]]",0.13689507214247604
23-32-98,"[[165, 663], [205, 663], [205, 675], [165, 675]]",0.33296977472161143
