Text,Bounding Box,Confidence
(Caselsan |MİRSAD,"[[32, 38], [206, 38], [206, 68], [32, 68]]",0.6759260564201508
Berce,"[[62, 128], [86, 128], [86, 136], [62, 136]]",0.4126343539803101
SurtKomnt ,"[[77, 141], [137, 141], [137, 153], [77, 153]]",0.01079420795568177
Sad,"[[61, 167], [85, 167], [85, 181], [61, 181]]",0.7883764755405662
9481,"[[61, 183], [85, 183], [85, 197], [61, 197]]",0.08627921342849731
504,"[[62, 200], [86, 200], [86, 208], [62, 208]]",0.1821748669082193
filr_eİncke;,"[[47, 225], [97, 225], [97, 239], [47, 239]]",0.17393501012654083
Flr_Ekrc*e_KameraT,"[[60, 237], [147, 237], [147, 255], [60, 255]]",0.10476373616495732
KARNOL 13,"[[47, 255], [99, 255], [99, 267], [47, 267]]",0.4168019601978056
mur,"[[64, 270], [92, 270], [92, 278], [64, 278]]",0.3107879199597388
pTy,"[[62, 298], [90, 298], [90, 306], [62, 306]]",0.09938806341639726
PR kapi,"[[63, 311], [95, 311], [95, 323], [63, 323]]",0.5464767600345861
Tddae),"[[61, 323], [93, 323], [93, 337], [61, 337]]",0.20409695175480913
Çavnmdrşt (49} ,"[[25, 339], [99, 339], [99, 355], [25, 355]]",0.09008884170981273
MAYNLAR,"[[47, 353], [91, 353], [91, 365], [47, 365]]",0.759626051340933
Pale,"[[62, 370], [86, 370], [86, 376], [62, 376]]",0.003253721632063389
Fy_Eduokı_Kenor,"[[23, 431], [109, 431], [109, 443], [23, 443]]",0.025060724018735735
023/3298,"[[157, 429], [205, 429], [205, 443], [157, 443]]",0.47534446886036397
Elljka2,"[[23, 439], [57, 439], [57, 453], [23, 453]]",0.3066100222500324
Yemadr 012,"[[22, 461], [73, 461], [73, 476], [22, 476]]",0.2251109178995676
28-02-38,"[[165, 463], [205, 463], [205, 475], [165, 475]]",0.25656372919869047
Aie,"[[22, 476], [48, 476], [48, 482], [22, 482]]",0.009180262321495438
rakikdil `,"[[79, 469], [115, 469], [115, 487], [79, 487]]",0.1204516143866394
72264,"[[166, 474], [196, 474], [196, 482], [166, 482]]",0.1721679369271156
Veda34kd12,"[[24, 498], [102, 498], [102, 506], [24, 506]]",0.012565794242026081
11 22-32408,"[[158, 498], [202, 498], [202, 506], [158, 506]]",0.13685869935647388
lit Inras,"[[23, 507], [83, 507], [83, 521], [23, 521]]",0.12358442914316545
725Lokoo,"[[166, 508], [202, 508], [202, 516], [166, 516]]",0.021991853924400534
Manul Tadpi1,"[[21, 531], [87, 531], [87, 543], [21, 543]]",0.06366330772825136
29320E,"[[167, 529], [201, 529], [201, 541], [167, 541]]",0.3532489242818299
ndes,"[[22, 544], [48, 544], [48, 550], [22, 550]]",0.01944270171225071
Yamaor 012,"[[22, 561], [73, 561], [73, 576], [22, 576]]",0.19041429072193886
23-32*38,"[[165, 561], [205, 561], [205, 575], [165, 575]]",0.20779702625794882
şophett Arç {TRIoBCDA212,"[[21, 573], [133, 573], [133, 585], [21, 585]]",0.11442030738601748
Yrssk,"[[166, 576], [200, 576], [200, 582], [166, 582]]",0.04773740050492013
Kea 94ikd1z,"[[22, 598], [102, 598], [102, 606], [22, 606]]",0.02655100968171099
2422408,"[[166, 598], [202, 598], [202, 606], [166, 606]]",0.34609328946785434
Fhlnlanamina Usn,"[[24, 608], [110, 608], [110, 616], [24, 616]]",0.017348446320256908
"7240k0,","[[166, 608], [202, 608], [202, 616], [166, 616]]",0.18297414368435197
Cct/12,"[[21, 629], [59, 629], [59, 641], [21, 641]]",0.21720690890368308
22l2kfae,"[[166, 632], [202, 632], [202, 640], [166, 640]]",0.037675741020304764
Klana,"[[22, 642], [52, 642], [52, 650], [22, 650]]",0.44185176884848976
Yekn i,"[[166, 642], [202, 642], [202, 648], [166, 648]]",0.027007775878086462
H1a8e 94 (Kendl14),"[[23, 663], [105, 663], [105, 675], [23, 675]]",0.05864841852599234
25597 98,"[[166, 664], [202, 664], [202, 672], [166, 672]]",0.04648160216178274
Jen,"[[166, 674], [202, 674], [202, 680], [166, 680]]",0.004435123670435318
Jslanyan,"[[83, 685], [139, 685], [139, 705], [83, 705]]",0.14892055073346414
Gac7,"[[61.44529980377477, 280.1679497056622], [87.94498607344026, 283.67288943611686], [85.55470019622523, 296.8320502943378], [60.055013926559745, 293.32711056388314]]",0.03122686967253685
