Text,Bounding Box,Confidence
Caselsan | MiRSAD,"[[36, 38], [204, 38], [204, 68], [36, 68]]",0.9656810128677545
4kiara,"[[16, 92], [66, 92], [66, 100], [16, 100]]",0.0233670896919641
9 r,"[[189, 89], [223, 89], [223, 105], [189, 105]]",0.8622186779975891
Ha 70,"[[46, 114], [72, 114], [72, 122], [46, 122]]",0.11058279747062788
Serle,"[[62, 128], [86, 128], [86, 136], [62, 136]]",0.3926209980083276
Serca Kui,"[[78, 142], [132, 142], [132, 150], [78, 150]]",0.03437215118840143
se42,"[[46, 158], [68, 158], [68, 166], [46, 166]]",0.07111659646034241
5279,"[[62, 172], [90, 172], [90, 178], [62, 178]]",0.008045642636716366
9449 7,"[[62, 186], [90, 186], [90, 194], [62, 194]]",0.03284558019481418
5012 8,"[[62, 200], [92, 200], [92, 208], [62, 208]]",0.07371407090679448
S,"[[62, 214], [86, 214], [86, 220], [62, 220]]",0.01446414323634132
@in26b,"[[62, 228], [94, 228], [94, 236], [62, 236]]",0.04583275693145331
P Fllr_Eklnoks,"[[47, 241], [109, 241], [109, 253], [47, 253]]",0.7008844290297083
Canerb,"[[112, 242], [142, 242], [142, 250], [112, 250]]",0.30928962907605295
KARaKoL,"[[48, 256], [84, 256], [84, 264], [48, 264]]",0.20249306028241712
Kamera ?,"[[62, 270], [100, 270], [100, 278], [62, 278]]",0.14006300874787458
"""ad:","[[64, 284], [86, 284], [86, 292], [64, 292]]",0.18705621361732483
Yanobz 12,"[[63, 297], [109, 297], [109, 311], [63, 311]]",0.2707245609860977
Paadi,"[[64, 314], [96, 314], [96, 320], [64, 320]]",0.04885669929594448
Çevrimdrsr {43/,"[[25, 339], [97, 339], [97, 351], [25, 351]]",0.40620159251494975
MAtiNLAf,"[[48, 356], [90, 356], [90, 364], [48, 364]]",0.11127744889671758
Auir,"[[64, 370], [86, 370], [86, 376], [64, 376]]",0.034212756901979446
Bduckı_Kamor,"[[39, 430], [109, 430], [109, 442], [39, 442]]",0.18680157832435526
023.32-0,"[[157, 429], [205, 429], [205, 443], [157, 443]]",0.3243673180933009
ellg K77,"[[22, 438], [57, 438], [57, 452], [22, 452]]",0.09602401052637649
Yampbz 012,"[[22, 461], [73, 461], [73, 476], [22, 476]]",0.1823999664585997
2132-3a,"[[165, 463], [205, 463], [205, 475], [165, 475]]",0.2628946063629859
Jraerk =eefli,"[[22, 476], [106, 476], [106, 482], [22, 482]]",0.0012121625422169128
245s5e+,"[[166, 476], [200, 476], [200, 482], [166, 482]]",0.003393065019501205
Md * 34 (K 12},"[[23, 497], [105, 497], [105, 509], [23, 509]]",0.07173241672563224
4423-32*98,"[[158, 498], [202, 498], [202, 506], [158, 506]]",0.04188451560720647
Jnyz Tinnanis,"[[24, 508], [84, 508], [84, 516], [24, 516]]",0.1565590226035021
2340*09,"[[166, 508], [202, 508], [202, 516], [166, 516]]",0.0864285010253384
Kanunuii,"[[22, 532], [86, 532], [86, 540], [22, 540]]",0.039073208271540316
79832-36,"[[166, 530], [202, 530], [202, 538], [166, 538]]",0.17713068533998388
Ingza,"[[22, 542], [44, 542], [44, 550], [22, 550]]",0.4685134633945647
Yomoar 012,"[[23, 563], [73, 563], [73, 575], [23, 575]]",0.3079108419309149
23-32*39,"[[165, 563], [205, 563], [205, 575], [165, 575]]",0.39340718826247006
Sopheli 4ra; ITridacdaztz,"[[21, 573], [133, 573], [133, 585], [21, 585]]",0.04617701098106118
25s58,"[[166, 576], [200, 576], [200, 582], [166, 582]]",0.016315091797909607
40(112,"[[33, 597], [105, 597], [105, 609], [33, 609]]",0.01659949449284294
2822238,"[[165, 595], [203, 595], [203, 607], [165, 607]]",0.44814855830535943
Tnmlnnle,"[[22, 608], [104, 608], [104, 616], [22, 616]]",0.010330536441890787
28*4940,"[[165, 607], [205, 607], [205, 619], [165, 619]]",0.1928636938869888
Coiy,"[[22, 632], [58, 632], [58, 640], [22, 640]]",0.042784515768289566
32899,"[[178, 632], [202, 632], [202, 640], [178, 640]]",0.14793436110590436
Hakna,"[[22, 642], [50, 642], [50, 650], [22, 650]]",0.15939624621731474
7cnklf,"[[166, 642], [202, 642], [202, 648], [166, 648]]",0.006401770108531793
Mid0e 94 (Ke*12,"[[21, 663], [105, 663], [105, 675], [21, 675]]",0.061650640443960104
23-32-98,"[[165, 663], [205, 663], [205, 675], [165, 675]]",0.3645390642650185
Jann,"[[166, 674], [202, 674], [202, 680], [166, 680]]",0.008963563479483128
islem Yap,"[[85, 689], [131, 689], [131, 703], [85, 703]]",0.7809489266008282
