Text,Bounding Box,Confidence
Tuoun,"[[172, 2], [196, 2], [196, 8], [172, 8]]",0.05366976355903792
Vardım,"[[206, 0], [232, 0], [232, 8], [206, 8]]",0.13197797171264478
1n],"[[270, 12], [298, 12], [298, 20], [270, 20]]",0.07889418653019997
Vdrr,"[[309, 9], [337, 9], [337, 23], [309, 23]]",0.15276139974594116
Plarm Yenctimi,"[[347, 9], [423, 9], [423, 23], [347, 23]]",0.269069332587092
Hauta,"[[270, 20], [294, 20], [294, 28], [270, 28]]",0.7313510983111221
Vidor,"[[312, 20], [334, 20], [334, 28], [312, 28]]",0.2972264521437039
Alim Yenctimi,"[[352, 20], [410, 20], [410, 28], [352, 28]]",0.17150001774574752
aselsan | MoRSAD,"[[47, 27], [133, 27], [133, 41], [47, 41]]",0.6298741352275278
aselsan | MİRSAD,"[[50, 38], [204, 38], [204, 64], [50, 64]]",0.6684978796300575
70ce,"[[61, 113], [91, 113], [91, 131], [61, 131]]",0.576143741607666
 [,"[[80, 134], [132, 134], [132, 142], [80, 142]]",0.19148047636447818
1  -,"[[45, 147], [69, 147], [69, 159], [45, 159]]",0.05229159817099571
2,"[[41, 153], [97, 153], [97, 191], [41, 191]]",0.29989856479927823
Eincks nchstomere,"[[58, 216], [164, 216], [164, 247], [58, 247]]",0.026328732566790598
PFlir_Ekinoks_Karere,"[[55, 241], [141, 241], [141, 257], [55, 257]]",0.47914717716375677
Karay,"[[48, 256], [74, 256], [74, 264], [48, 264]]",0.42927592810355175
karera,"[[59, 263], [95, 263], [95, 281], [59, 281]]",0.481828897780205
7577oz,"[[59, 299], [97, 299], [97, 313], [59, 313]]",0.028951738468746647
Mdae,"[[62, 328], [86, 328], [86, 336], [62, 336]]",0.08437393605709076
irdısi {49)14,"[[45, 339], [105, 339], [105, 357], [45, 357]]",0.2616485955067908
MAYINLA,"[[47, 349], [87, 349], [87, 369], [47, 369]]",0.732371049846808
Fliv_Ekinoks_Kamera`,"[[22, 420], [118, 420], [118, 444], [22, 444]]",0.2150391563868905
0 23.3238,"[[157, 423], [205, 423], [205, 443], [157, 443]]",0.6503269001143007
Ellc Kaz,"[[24, 442], [56, 442], [56, 450], [24, 450]]",0.17272003889878876
emgozola,"[[23, 453], [81, 453], [81, 465], [23, 465]]",0.12064019084115533
23-32838,"[[163, 453], [213, 453], [213, 467], [163, 467]]",0.3125094208176832
Yemgoz C12 Keula,"[[23, 465], [113, 465], [113, 477], [23, 477]]",0.26426562109530893
Vyae,"[[24, 474], [46, 474], [46, 482], [24, 482]]",0.03322684392333031
PCasalon,"[[60, 476], [108, 476], [108, 482], [60, 482]]",0.006957599861805694
ale ],"[[68, 490], [94, 490], [94, 498], [68, 498]]",0.0029708652753669827
,"[[170, 490], [202, 490], [202, 498], [170, 498]]",0.0
Aii,"[[280, 488], [306, 488], [306, 496], [280, 496]]",0.08398891226897358
Midss J4 (Ysra' 12},"[[19, 487], [108, 487], [108, 513], [19, 513]]",0.0976650139399487
42192827,"[[158, 498], [202, 498], [202, 506], [158, 506]]",0.1205170946682346
Geçmisi,"[[309, 497], [353, 497], [353, 511], [309, 511]]",0.8813987873178054
Sooo,"[[178, 508], [202, 508], [202, 516], [178, 516]]",0.06435597687959671
Hunvg,"[[296, 514], [330, 514], [330, 522], [296, 522]]",0.03324208527869847
4umrfezege ccuranumg,"[[327, 507], [444, 507], [444, 534], [327, 534]]",0.13788684700680306
2383238,"[[165, 519], [213, 519], [213, 533], [165, 533]]",0.4658503823253432
Uste Gununumnu,"[[274, 522], [332, 522], [332, 530], [274, 530]]",0.17019073914888674
Gielo,"[[354, 522], [376, 522], [376, 530], [354, 530]]",0.21070368735417067
Gounumg,"[[382, 522], [422, 522], [422, 530], [382, 530]]",0.3112761791253405
Manval Tespit 1 /,"[[18, 520], [96, 520], [96, 544], [18, 544]]",0.394162012958425
Ingan,"[[22, 542], [44, 542], [44, 550], [22, 550]]",0.5057694885976752
anun,"[[431, 535], [461, 535], [461, 549], [431, 549]]",0.5501663684844971
@2,"[[470, 532], [516, 532], [516, 558], [470, 558]]",0.7564590343671642
21222,"[[504, 536], [528, 536], [528, 544], [504, 544]]",0.0729112472376997
12012023,"[[535, 533], [589, 533], [589, 545], [535, 545]]",0.3037347252255457
deskbol,"[[609, 535], [649, 535], [649, 547], [609, 547]]",0.23601946796660975
Juceor,"[[673, 533], [707, 533], [707, 547], [673, 547]]",0.2945350701664671
len Tiro,"[[745, 533], [787, 533], [787, 547], [745, 547]]",0.41413949349938745
Tehis Aciklaması,"[[857, 533], [937, 533], [937, 547], [857, 547]]",0.3008263886625532
Iesne;,"[[965, 535], [995, 535], [995, 549], [965, 549]]",0.2858949626415172
Kaypek Nusdilyuies,"[[990, 532], [1094, 532], [1094, 556], [990, 556]]",0.34785609912909254
Orcelık,"[[1115, 531], [1155, 531], [1155, 545], [1115, 545]]",0.9822479203306671
Bolge,"[[1173, 533], [1201, 533], [1201, 547], [1173, 547]]",0.9805660375967009
72012022,"[[537, 543], [577, 543], [577, 559], [537, 559]]",0.48898047821100477
1 Orcel,"[[1111, 543], [1143, 543], [1143, 559], [1111, 559]]",0.27550997002792993
emgoz la,"[[23, 553], [79, 553], [79, 565], [23, 565]]",0.2134870881350568
37808,"[[179, 555], [213, 555], [213, 567], [179, 567]]",0.5315495607527769
Yaid487 07,"[[22, 564], [72, 564], [72, 572], [22, 572]]",0.024248984719073222
ITrcocoRZ1 2,"[[81, 563], [153, 563], [153, 577], [81, 577]]",0.044793383256052
Dus,"[[265, 565], [287, 565], [287, 577], [265, 577]]",0.82017807217344
Cinumi,"[[331, 565], [377, 565], [377, 577], [331, 577]]",0.4003703253024782
s,"[[422, 566], [454, 566], [454, 574], [422, 574]]",0.1737904100712493
