Text,Bounding Box,Confidence
Ciselsan | MİRSAD,"[[41, 38], [204, 38], [204, 66], [41, 66]]",0.44800556367555194
nana,"[[46, 112], [74, 112], [74, 120], [46, 120]]",0.0025381366722285748
Bere,"[[62, 128], [86, 128], [86, 136], [62, 136]]",0.643383800983429
sary,"[[77, 139], [113, 139], [113, 155], [77, 155]]",0.06787075847387314
94443;,"[[62, 186], [96, 186], [96, 194], [62, 194]]",0.007465206941512278
940,"[[62, 214], [84, 214], [84, 222], [62, 222]]",0.10510817565907671
Fllr_EIncke,"[[47, 225], [97, 225], [97, 239], [47, 239]]",0.5429176533284981
2 Fllr_Edncka,"[[47, 241], [109, 241], [109, 253], [47, 253]]",0.2752553957639506
KARNKOL 13,"[[47, 255], [99, 255], [99, 267], [47, 267]]",0.44527635803620463
Kamop 2;,"[[63, 267], [105, 267], [105, 283], [63, 283]]",0.15964127721473295
Ffhd,"[[64, 284], [86, 284], [86, 292], [64, 292]]",0.04598977044224739
8 Yemouz,"[[47, 297], [95, 297], [95, 311], [47, 311]]",0.20559339964026047
Ceyrimdrşr {49|,"[[25, 339], [95, 339], [95, 351], [25, 351]]",0.2410011151117826
MaYNl,"[[48, 356], [80, 356], [80, 364], [48, 364]]",0.08842266627304866
FAdnddo,"[[23, 429], [75, 429], [75, 443], [23, 443]]",0.09977644189192769
02221290,"[[157, 429], [205, 429], [205, 443], [157, 443]]",0.11039919954899502
Filjka,"[[23, 439], [59, 439], [59, 453], [23, 453]]",0.130155262276136
Yallar012,"[[23, 463], [75, 463], [75, 477], [23, 477]]",0.034434078986548
228-12-38,"[[163, 463], [205, 463], [205, 477], [163, 477]]",0.04366039150794107
haibe,"[[22, 476], [50, 476], [50, 482], [22, 482]]",0.004177917281653296
Shacak niidu#,"[[49, 471], [115, 471], [115, 485], [49, 485]]",0.05679407189594197
2535*21,"[[163, 473], [203, 473], [203, 485], [163, 485]]",0.27249915279406245
Md 841k12:,"[[23, 497], [107, 497], [107, 509], [23, 509]]",0.19609350981660056
029-32+88,"[[155, 497], [205, 497], [205, 509], [155, 509]]",0.4035195586602454
linvz Tmmra,"[[23, 507], [83, 507], [83, 519], [23, 519]]",0.07864492680845415
23440.0,"[[165, 507], [205, 507], [205, 519], [165, 519]]",0.11887169575740071
Mom dTudti,"[[22, 528], [87, 528], [87, 542], [22, 542]]",0.0506545556510771
2584,"[[167, 529], [195, 529], [195, 543], [167, 543]]",0.16220739483833313
Inban,"[[22, 542], [44, 542], [44, 550], [22, 550]]",0.6886198632426354
Ye5j01012,"[[23, 563], [73, 563], [73, 575], [23, 575]]",0.003203125942954505
29 82*98,"[[165, 563], [205, 563], [205, 575], [165, 575]]",0.06335702520502248
sophell Arc (TaloecoR212;,"[[21, 573], [135, 573], [135, 585], [21, 585]]",0.055279500308066984
72-3547,"[[166, 574], [200, 574], [200, 582], [166, 582]]",0.29258280192154906
Kdaidiz,"[[22, 598], [102, 598], [102, 606], [22, 606]]",0.015253118991834113
"22-32,38","[[169, 595], [203, 595], [203, 607], [169, 607]]",0.1289175347418944
Fhmlnfonn Gp ,"[[24, 608], [110, 608], [110, 616], [24, 616]]",0.008586296760338846
8*40+00,"[[171, 607], [205, 607], [205, 619], [171, 619]]",0.1613108710691928
Cct{2,"[[21, 629], [61, 629], [61, 643], [21, 643]]",0.12768345441622805
22l288ae,"[[166, 632], [202, 632], [202, 640], [166, 640]]",0.04536777800832915
Kzdna,"[[22, 642], [52, 642], [52, 650], [22, 650]]",0.13780717096876313
Ila ka,"[[51, 639], [83, 639], [83, 653], [51, 653]]",0.20087091657117825
25*60'00,"[[165, 639], [203, 639], [203, 651], [165, 651]]",0.10565402001821397
2253phsa,"[[162, 664], [202, 664], [202, 672], [162, 672]]",0.020863586214132743
Vinn,"[[166, 674], [202, 674], [202, 680], [166, 680]]",0.008718756958842278
80u1e79,"[[44.14250707428746, 157.48550424457247], [75.92401683242188, 154.6176482072737], [76.85749292571255, 164.51449575542753], [45.07598316757811, 167.3823517927263]]",0.003574191798416588
