Text,Bounding Box,Confidence
Vos,"[[2, 2], [26, 2], [26, 10], [2, 10]]",0.10481465655543959
aee,"[[34, 2], [58, 2], [58, 8], [34, 8]]",0.028284220373922187
Aetan,"[[66, 2], [98, 2], [98, 8], [66, 8]]",0.012240987308956543
1na1e,"[[106, 2], [134, 2], [134, 8], [106, 8]]",0.005405198881376552
ouou,"[[162, 2], [196, 2], [196, 8], [162, 8]]",0.011688453145325184
rn,"[[206, 2], [232, 2], [232, 8], [206, 8]]",0.02495929234467366
Echun,"[[240, 2], [264, 2], [264, 10], [240, 10]]",0.2465668945277913
apat,"[[272, 2], [296, 2], [296, 10], [272, 10]]",0.37144526839256287
Hauta,"[[270, 20], [294, 20], [294, 28], [270, 28]]",0.7313510983111221
Vidrr,"[[311, 19], [337, 19], [337, 31], [311, 31]]",0.12677854302435754
Alarm Yenctimi,"[[349, 19], [413, 19], [413, 31], [349, 31]]",0.6333412534821032
