Text,Bounding Box,Confidence
~Caselsan | MIRSAD,"[[35, 38], [204, 38], [204, 68], [35, 68]]",0.36076858534642525
Aheduyet Ara,"[[14, 92], [66, 92], [66, 100], [14, 100]]",0.03174975144027831
9 T &,"[[189, 89], [243, 89], [243, 105], [189, 105]]",0.6832210865224978
Ha*,"[[46, 114], [72, 114], [72, 122], [46, 122]]",0.07681995577827298
H Berce,"[[47, 127], [87, 127], [87, 141], [47, 141]]",0.45946389512208435
SureKamtn,"[[77, 141], [135, 141], [135, 153], [77, 153]]",0.051570404122723346
5044,"[[47, 157], [71, 157], [71, 169], [47, 169]]",0.1956416368484497
5041-8,"[[62, 200], [92, 200], [92, 208], [62, 208]]",0.1737944551665989
9t0944,"[[62, 214], [92, 214], [92, 222], [62, 222]]",0.12799923142526196
Fllr BInckb,"[[46, 228], [94, 228], [94, 236], [46, 236]]",0.1328091407417452
2 Fllr_Ekncke_Kamera,"[[47, 241], [143, 241], [143, 253], [47, 253]]",0.33577533272840265
KaANKOL 13,"[[47, 255], [99, 255], [99, 267], [47, 267]]",0.2577389040988502
Kamor ?,"[[63, 269], [103, 269], [103, 281], [63, 281]]",0.19912454531805326
Frdh,"[[62, 284], [86, 284], [86, 292], [62, 292]]",0.35695716738700867
Yemnouz,"[[63, 297], [95, 297], [95, 309], [63, 309]]",0.21849652938955122
PR kepı,"[[63, 311], [95, 311], [95, 323], [63, 323]]",0.5684927185606348
Çevdmdrşt {48),"[[23, 339], [95, 339], [95, 353], [23, 353]]",0.35366625787102335
MaYNlaf,"[[48, 356], [90, 356], [90, 364], [48, 364]]",0.06443586767734595
ol,"[[64, 370], [86, 370], [86, 376], [64, 376]]",0.05510969151061779
FAdndloKecnr,"[[23, 429], [109, 429], [109, 443], [23, 443]]",0.01704596399315319
"023,32-98","[[157, 429], [205, 429], [205, 443], [157, 443]]",0.26709554205154934
Ellvkaz,"[[23, 439], [57, 439], [57, 451], [23, 451]]",0.3553749991597103
Yanlsr012,"[[23, 463], [75, 463], [75, 477], [23, 477]]",0.035206089969680936
29-02-99,"[[165, 463], [205, 463], [205, 475], [165, 475]]",0.22983471844954276
abe Seaki,"[[22, 476], [106, 476], [106, 482], [22, 482]]",0.01871293028012951
Zkezeh,"[[166, 476], [200, 476], [200, 482], [166, 482]]",0.005483193475454652
804 4841k12),"[[21, 497], [105, 497], [105, 509], [21, 509]]",0.017064920515517636
"11,22-82408","[[158, 498], [202, 498], [202, 506], [158, 506]]",0.11628158028066357
linsz Tımanes,"[[23, 507], [83, 507], [83, 519], [23, 519]]",0.23209053198092772
73 Lokoo,"[[166, 508], [202, 508], [202, 516], [166, 516]]",0.028243932376727076
Aai,"[[22, 532], [86, 532], [86, 540], [22, 540]]",0.003913509211628018
29*3220,"[[165, 529], [205, 529], [205, 541], [165, 541]]",0.20354692553069384
Inbbn,"[[22, 542], [44, 542], [44, 550], [22, 550]]",0.3550500516433388
Y1a0012,"[[23, 563], [73, 563], [73, 575], [23, 575]]",0.006416937089235171
23-32-38,"[[165, 563], [205, 563], [205, 575], [165, 575]]",0.38265832234514124
{ophell Ara5 (TRIobcda212,"[[21, 573], [135, 573], [135, 585], [21, 585]]",0.05056076469008202
4525e,"[[166, 576], [200, 576], [200, 582], [166, 582]]",0.030745917519329827
Ccte,"[[21, 629], [61, 629], [61, 643], [21, 643]]",0.11279187351465225
"23+92""a0","[[165, 631], [205, 631], [205, 643], [165, 643]]",0.12883992776551448
Kzlna,"[[22, 642], [52, 642], [52, 650], [22, 650]]",0.20480192409760592
23-#0i0,"[[166, 642], [202, 642], [202, 650], [166, 650]]",0.09991037951616666
Ike*12,"[[61, 663], [105, 663], [105, 675], [61, 675]]",0.04007179589716234
23-92-96,"[[165, 663], [205, 663], [205, 675], [165, 675]]",0.4002640482199426
4,"[[166, 674], [202, 674], [202, 680], [166, 680]]",0.5052462037304082
gien,"[[86, 692], [112, 692], [112, 700], [86, 700]]",0.23954294621944427
