Text,Bounding Box,Confidence
aselsan | MİRSAD,"[[50, 38], [204, 38], [204, 64], [50, 64]]",0.7614551629315456
a ),"[[13, 91], [67, 91], [67, 103], [13, 103]]",0.1791500372977849
A7l,"[[46, 114], [72, 114], [72, 120], [46, 120]]",0.05312443250516287
Seice,"[[62, 128], [84, 128], [84, 136], [62, 136]]",0.22541233534115224
serre Kan Pio,"[[78, 142], [132, 142], [132, 150], [78, 150]]",0.0274824239025297
Seda,"[[45, 157], [69, 157], [69, 169], [45, 169]]",0.8742313981056213
5609-|,"[[62, 172], [90, 172], [90, 180], [62, 180]]",0.15053300847677145
50da ,"[[62, 186], [90, 186], [90, 194], [62, 194]]",0.1483239778440871
Soda,"[[61, 199], [85, 199], [85, 211], [61, 211]]",0.3087517023086548
Fiig Einos,"[[46, 228], [92, 228], [92, 236], [46, 236]]",0.2753541626589263
Fllr_Eklnoks_Kamere,"[[61, 241], [143, 241], [143, 253], [61, 253]]",0.5709775795197911
KararoL,"[[46, 256], [84, 256], [84, 264], [46, 264]]",0.12692001507278422
Kamcr;,"[[62, 270], [92, 270], [92, 278], [62, 278]]",0.3559538919045167
Yamooz,"[[61, 297], [95, 297], [95, 309], [61, 309]]",0.6433281895472841
PIR kapi,"[[60, 310], [95, 310], [95, 323], [60, 323]]",0.5638402698261057
Adas,"[[62, 326], [86, 326], [86, 334], [62, 334]]",0.2347082495689392
Cevrirndisi {491,"[[23, 339], [95, 339], [95, 351], [23, 351]]",0.30853514269265647
Mayinlar 14,"[[48, 356], [102, 356], [102, 364], [48, 364]]",0.28484911768280397
Aenr,"[[62, 370], [86, 370], [86, 376], [62, 376]]",0.008467929437756538
Flt_Ekinoks_Karner,"[[23, 431], [109, 431], [109, 443], [23, 443]]",0.5433527372128971
V 232 36,"[[158, 432], [202, 432], [202, 440], [158, 440]]",0.10720032639770113
Yemgoz 012,"[[21, 463], [75, 463], [75, 475], [21, 475]]",0.8600696787741774
23-32838,"[[165, 463], [205, 463], [205, 475], [165, 475]]",0.4271723863541045
Uya,"[[22, 474], [46, 474], [46, 482], [22, 482]]",0.17131965897463508
ecek (eula,"[[60, 474], [108, 474], [108, 482], [60, 482]]",0.032973815134067164
soa,"[[166, 476], [200, 476], [200, 482], [166, 482]]",0.011339017126391399
Midus J4 Kanal121,"[[22, 498], [104, 498], [104, 506], [22, 506]]",0.12465165383923538
42132.00,"[[158, 498], [202, 498], [202, 506], [158, 506]]",0.16673529066488316
insiz Turmaini,"[[24, 508], [82, 508], [82, 516], [24, 516]]",0.1709405380431991
40*00,"[[177, 507], [205, 507], [205, 519], [177, 519]]",0.38085509565393677
Manuci Iospit 1,"[[22, 532], [86, 532], [86, 540], [22, 540]]",0.12703479927284733
23832 36,"[[166, 530], [202, 530], [202, 538], [166, 538]]",0.20192062719778658
Ingan,"[[22, 542], [44, 542], [44, 550], [22, 550]]",0.4701247197481391
Yemgoz 012,"[[21, 563], [75, 563], [75, 575], [21, 575]]",0.9063270116239059
23 37838,"[[166, 564], [202, 564], [202, 572], [166, 572]]",0.24684199653785238
Suphe,"[[22, 576], [48, 576], [48, 584], [22, 584]]",0.22359614660377172
Mrac ITR oocdR2iz,"[[53, 573], [133, 573], [133, 585], [53, 585]]",0.09183691303122912
7ss,"[[166, 576], [200, 576], [200, 582], [166, 582]]",0.13764271693268285
Medas 34 Kanal12,"[[22, 598], [102, 598], [102, 606], [22, 606]]",0.14067970406263092
"21-32,2","[[166, 598], [202, 598], [202, 606], [166, 606]]",0.24021877792679966
Tanimlaniamavan Uva,"[[24, 608], [110, 608], [110, 616], [24, 616]]",0.2652200067544573
22 40IC(,"[[166, 608], [202, 608], [202, 616], [166, 616]]",0.0680921753527387
CCTV,"[[21, 629], [49, 629], [49, 643], [21, 643]]",0.39634108543395996
a,"[[178, 632], [202, 632], [202, 638], [178, 638]]",0.08047401657478659
akiine,"[[22, 642], [50, 642], [50, 650], [22, 650]]",0.27750194306077924
kgd,"[[178, 642], [202, 642], [202, 648], [178, 648]]",0.07162989929658996
Midas ,"[[21, 663], [51, 663], [51, 675], [21, 675]]",0.368848117527371
(analz],"[[62, 664], [102, 664], [102, 672], [62, 672]]",0.10244891094544699
23-37838,"[[166, 664], [202, 664], [202, 672], [166, 672]]",0.1165091460385644
99ora,"[[166, 674], [202, 674], [202, 680], [166, 680]]",0.07946399073295167
Islem Yap,"[[85, 689], [135, 689], [135, 703], [85, 703]]",0.7098167452501454
132 -,"[[198, 690], [220, 690], [220, 698], [198, 698]]",0.35674824958760504
